"Parasiteid","modelinfo","year.est","year.se","df","year.z","year.p","notes","year.fdr.p"
"clav.mariae","tempautocorr",0.017807,0.0124962,77,1.425003,0.1582,"z = t for this model",0.194333333333333
"tremsp1","tempautocorr",-0.045897,0.112749,77,-4.070713,1e-04,"z = t for this model",0.0011
"cope.chalimis","glmmtmb",0.01684,0.02539,105,0.663,0.507,"",0.5577
"ocean.pallida","glmmtmb",0.02724,0.01936,105,1.407,0.159,"",0.194333333333333
"metacercariaOS2","glmmtmb",0.02455,0.009288,106,2.643,0.00821,"",0.045155
"metacercariaA","glmmtmb",-0.000688,0.0171586,105,-0.04,0.968,"",0.968
"c.annulatus","glmmtmb",0.011967,0.005849,105,2.046,0.0408,"",0.1496
"contracaecum spp.","glmmtmb",-0.009671,0.006683,105,-1.447,0.148,"",0.194333333333333
"tremsp3","glmmtmb",-0.06167,0.03913,105,-1.576,0.115,"",0.194333333333333
"c.parophrysi","glmmtmb",0.04128,0.02614,105,1.579,0.114,"",0.194333333333333
"spiruidsp1","glmmtmb",-0.0519,0.03526,105,-1.472,0.141,"",0.194333333333333
